34	23	22	23	18	23	14
24	17	20	22	22	11	28
22	27	26	22	27	28	24
19	34	30	22	19	25	38
39	16	28	32	20	33	20
26	25	29	16	24	24	23
21	19	21	29	29	23	21
30	25	23	31	27	25	25
21	16	25	18	29	30	30
27	25	25	26	29	24	35
20	23	28	23	17	18	19
18	26	27	28	16	27	33
22	20	31	20	19	23	31
14	17	31	33	24	17	24
15	16	23	31	25	27	19
34	26	23	26	18	30	25
25	26	24	26	31	19	29
25	25	29	24	19	24	26
21	26	25	18	28	22	19
27	17	27	21	20	29	29
25	23	27	17	23	22	23
24	28	22	23	26	29	31
28	23	27	23	29	22	27
26	25	29	27	29	24	26
31	23	23	32	27	8	20
30	30	28	23	26	28	19
27	24	33	25	25	26	30
28	26	25	23	28	23	24
28	28	29	24	23	27	21
17	22	16	25	26	21	21
21	29	17	23	30	23	16
21	37	22	13	22	21	27
20	32	23	24	28	28	22
26	26	22	24	25	20	24
27	28	21	30	9	29	17
34	35	23	32	32	27	21
23	21	29	29	29	26	29
25	28	25	25	22	26	24
31	17	20	31	25	24	25
29	19	20	22	22	26	25
27	26	29	19	31	32	26
22	23	32	31	24	22	31
28	28	23	26	24	30	25
32	17	25	35	24	26	24
18	25	22	34	26	23	23
27	28	27	21	28	23	22
21	34	25	25	33	28	26
22	37	25	21	24	30	20
10	24	22	25	25	29	21
24	31	30	34	22	25	27
21	13	26	27	31	24	25
27	30	30	20	19	30	26
16	19	23	19	26	19	36
29	34	25	20	25	15	24
22	16	21	20	25	32	23
23	26	19	23	25	23	20
22	23	20	25	30	16	26
25	29	25	21	22	20	26
29	21	26	25	19	25	16
24	29	29	30	27	28	34
20	20	18	23	24	24	22
25	25	15	27	36	25	24
26	26	27	31	19	11	27
15	28	23	27	28	21	26
29	19	24	20	22	22	34
31	22	26	22	31	24	20
23	13	27	36	28	23	24
17	26	30	23	19	26	31
25	29	32	30	20	19	30
20	36	16	31	20	21	35
22	28	29	28	19	21	27
27	25	30	28	29	35	31
33	22	23	28	25	18	19
14	33	21	35	22	23	21
34	24	20	20	21	23	26
24	21	30	23	27	25	28
26	27	24	15	27	30	17
32	29	31	18	34	22	32
25	26	26	14	18	23	33
28	31	26	24	18	34	20
20	21	32	21	25	21	30
21	26	24	19	22	22	27
22	23	26	28	25	17	21
29	28	15	25	22	31	26
29	28	19	14	15	28	25
32	24	21	25	21	31	21
24	29	19	19	21	30	21
19	35	30	9	15	26	33
29	23	27	25	17	18	18
23	22	32	18	30	26	31
25	28	25	14	19	23	18
30	24	27	20	24	38	22
27	30	33	19	32	24	24
27	18	28	24	23	23	23
23	24	22	26	30	32	28
22	27	28	24	25	24	19
24	23	24	20	21	20	19
25	26	24	20	33	26	21
19	18	31	23	26	29	11
14	26	21	28	37	23	28
24	23	25	20	18	22	28
25	24	16	27	24	29	37
27	23	23	19	25	32	22
32	24	25	28	22	25	23
30	25	26	21	26	30	19
29	35	24	32	22	22	27
28	23	36	28	24	15	22
23	20	29	24	27	21	30
29	30	24	24	27	22	24
25	30	23	22	27	19	28
23	21	30	22	19	31	23
23	24	23	26	18	33	22
22	18	21	27	24	24	26
18	28	19	17	29	21	27
33	35	26	27	20	22	21
26	24	27	26	20	15	25
27	27	23	26	17	24	20
30	20	27	21	22	21	19
20	28	20	27	31	21	18
24	19	25	25	21	28	24
20	30	22	24	26	23	30
22	25	29	22	20	29	28
23	28	17	26	19	20	18
27	23	24	23	23	17	21
25	32	26	32	20	20	17
18	30	18	21	30	25	14
25	26	25	20	29	27	27
25	16	21	28	19	29	27
20	25	23	27	26	35	23
28	26	16	23	28	26	17
12	26	21	19	31	25	23
26	26	11	31	31	28	24
31	26	24	23	36	22	31
17	29	21	25	29	26	25
25	21	26	21	31	26	23
31	22	27	23	30	24	27
23	13	24	26	31	26	27
32	33	27	32	30	24	23
30	20	24	21	27	12	27
19	30	21	21	21	35	23
22	21	27	30	20	39	28
20	28	29	27	26	32	24
18	27	25	23	30	29	18
24	20	20	13	25	18	29
29	29	21	17	35	23	18
22	17	27	24	27	20	28
20	28	26	29	38	30	21
25	24	25	22	18	19	39
20	23	23	21	25	34	31
28	29	32	19	22	26	22
21	31	28	19	27	22	30
17	30	21	24	29	25	27
17	22	27	29	23	25	19
20	28	24	21	24	27	23
35	26	30	30	24	23	34
23	25	19	27	30	20	25
23	31	20	20	18	11	32
22	32	24	28	21	31	27
27	25	25	26	23	18	27
19	25	31	26	24	26	18
21	30	20	20	24	18	18
18	26	26	21	21	25	24
22	20	31	22	17	28	27
21	27	33	30	19	29	29
31	29	23	22	15	26	28
18	27	31	20	29	18	20
26	25	24	17	21	25	21
19	27	27	24	30	15	28
25	24	24	19	21	17	25
18	23	27	15	21	20	29
27	29	20	21	26	24	27
20	28	27	25	28	25	30
25	26	27	23	26	28	30
22	26	23	23	21	18	34
21	18	25	26	20	18	25
24	18	25	21	30	26	21
11	15	22	23	27	29	18
29	32	21	19	33	23	26
31	11	32	18	28	25	22
29	21	21	24	29	24	10
23	18	35	23	29	21	30
28	29	29	23	17	25	25
18	23	18	24	25	33	29
20	21	28	24	23	27	23
20	30	29	29	20	27	32
28	25	22	25	31	30	18
20	29	20	27	27	17	23
17	13	22	24	33	13	26
15	23	27	32	26	22	25
29	19	34	30	25	28	24
16	28	28	29	21	30	26
25	24	27	30	28	28	27
23	37	25	17	21	22	25
26	23	25	22	28	29	31
26	34	15	27	21	25	23
24	13	24	26	26	25	23
18	21	22	19	26	29	26
28	26	24	27	28	25	15
32	29	26	22	28	24	28
29	25	24	29	16	28	20
16	33	18	21	32	30	33
25	24	16	15	29	21	13
27	10	20	20	17	31	25
28	29	24	16	29	31	26
30	27	27	16	23	21	27
20	19	22	34	21	28	19
30	32	24	22	24	19	29
23	29	26	27	26	25	39
16	25	26	37	18	25	28
20	26	21	16	20	21	25
25	28	26	24	22	25	30
31	30	26	29	34	27	25
13	32	30	18	37	24	21
17	20	27	20	20	25	26
20	15	13	19	15	26	34
23	20	23	20	24	20	34
30	27	18	20	30	35	23
29	28	34	23	25	24	22
12	23	16	23	32	19	19
27	21	20	29	24	27	29
28	27	21	25	16	22	25
29	34	29	39	27	31	32
30	27	22	23	28	23	26
22	25	32	27	24	20	17
27	26	30	25	29	20	24
23	30	21	17	22	19	22
24	27	24	25	24	22	26
24	15	25	27	22	20	22
22	20	32	25	30	22	22
30	24	25	22	30	28	25
32	29	32	19	22	29	19
25	34	29	25	31	21	23
19	23	28	30	27	31	33
32	25	20	18	24	24	22
24	26	28	22	24	19	26
28	27	28	22	32	27	29
27	26	18	19	27	16	21
18	27	21	24	17	21	26
19	21	28	24	30	25	24
25	27	29	24	27	26	20
32	21	28	31	18	23	28
30	24	27	21	16	24	32
32	25	21	20	18	29	29
18	21	24	12	25	18	17
27	23	21	26	28	24	28
29	31	21	26	21	23	33
25	30	24	27	21	21	21
34	21	21	27	28	19	29
24	23	25	28	34	22	30
27	23	21	27	23	21	27
24	26	26	25	27	25	22
19	23	24	27	21	26	23
23	22	28	23	22	23	30
25	17	32	19	33	27	28
14	22	26	21	33	22	24
30	33	20	22	37	23	21
25	32	26	32	35	22	30
19	25	22	25	26	22	24
21	33	22	33	25	19	19
24	19	18	16	15	17	30
27	30	17	32	26	23	22
19	19	16	35	24	24	22
20	26	29	23	21	24	22
32	23	24	24	19	21	28
18	30	28	19	23	32	26
33	20	21	24	21	20	25
30	28	27	28	26	23	25
22	21	34	29	28	22	24
31	27	29	28	17	34	26
30	30	30	23	20	29	21
32	18	23	23	22	22	24
25	28	27	25	25	29	22
20	30	29	22	25	24	27
14	27	25	13	30	14	22
19	22	28	29	23	25	34
21	18	30	34	20	19	31
29	32	29	36	18	29	33
32	25	30	22	26	25	19
21	24	30	27	24	19	27
25	29	30	16	27	20	26
17	32	26	33	26	25	33
19	20	23	24	29	25	24
22	28	26	22	23	29	15
25	20	19	25	28	32	19
23	28	21	21	19	20	21
33	21	30	20	19	19	21
24	13	19	25	27	35	30
34	24	25	24	26	16	34
20	19	26	31	21	19	23
21	19	30	34	26	34	19
24	22	30	29	21	29	25
21	18	33	30	23	31	29
27	27	27	23	17	25	35
21	24	20	21	22	31	32
31	21	26	19	30	27	19
22	21	24	21	25	38	22
28	28	19	22	23	23	26
21	27	29	30	30	20	31
23	18	31	28	27	24	24
27	27	24	21	17	25	17
32	23	29	20	28	20	23
24	32	21	22	33	22	22
25	21	22	23	27	24	18
27	27	23	33	22	35	21
19	23	26	14	22	28	24
16	29	24	26	43	25	23
20	28	28	33	31	26	19
19	24	21	25	22	28	28
24	25	21	30	26	30	21
18	28	16	17	20	25	25
17	17	24	32	27	28	29
27	27	23	18	18	19	18
29	27	35	19	30	19	26
31	16	22	22	23	29	27
24	29	24	23	20	14	27
27	22	29	20	24	18	33
18	21	26	23	24	23	26
23	29	25	24	23	26	19
17	26	23	21	32	32	22
35	23	24	18	24	20	32
22	29	25	20	21	27	22
23	24	23	30	28	29	29
34	18	17	10	22	28	25
26	28	31	26	25	21	25
22	22	42	27	21	31	26
28	19	28	25	17	18	29
23	24	34	15	17	18	24
13	20	26	24	31	17	19
26	22	24	22	23	30	24
23	21	20	24	32	20	30
20	24	21	26	27	24	25
29	22	31	28	26	21	26
23	28	24	21	38	23	24
27	26	27	24	20	27	22
23	20	25	22	22	24	17
24	26	11	22	14	21	30
22	23	28	19	29	16	20
